Age,Income,Family,CCAvg,Mortgage,Online,CreditCard,Education,Loan
50,13,4,1,0,YES,0,Undergrad,0
27,112,4,2.1,0,NO,1,Professional,0
27,138,2,2,0,YES,0,Undergrad,0
52,11,3,0.4,0,NO,0,Undergrad,0
38,171,2,7.8,0,YES,0,Undergrad,0
58,42,4,1.5,0,YES,1,Undergrad,0
42,168,2,7.9,0,YES,0,Grad,1
45,85,4,1.1,0,YES,0,Grad,0
52,44,3,1,135,YES,0,Grad,0
29,65,4,1.8,244,NO,0,Grad,0
53,24,4,0.2,0,YES,1,Undergrad,0
62,11,1,0.1,0,YES,0,Undergrad,0
51,38,2,1,164,YES,0,Professional,0
36,10,4,0.7,81,NO,0,Grad,0
24,135,1,1.5,0,YES,0,Undergrad,0
29,148,3,4.1,0,YES,0,Undergrad,1
52,63,2,1.5,0,YES,0,Grad,0
39,115,1,1,0,YES,0,Professional,0
48,45,1,0.3,0,YES,1,Undergrad,0
46,159,3,1.9,315,YES,0,Professional,1
64,169,2,2.1,122,YES,0,Undergrad,0
55,112,2,1.4,0,YES,0,Undergrad,0
60,93,1,4.3,0,YES,0,Undergrad,0
51,29,1,0.3,140,NO,0,Professional,0
50,85,1,2.67,0,YES,0,Grad,0
48,21,4,0.6,0,YES,1,Undergrad,0
53,144,2,6.8,0,YES,0,Undergrad,0
34,13,4,1,95,YES,0,Undergrad,0
48,165,1,5,0,NO,1,Undergrad,0
55,9,4,0.7,89,YES,0,Undergrad,0
27,59,4,0,90,YES,0,Undergrad,0
36,158,1,5.1,0,YES,1,Professional,1
32,29,1,1.9,0,YES,1,Professional,0
35,20,2,1.4,0,YES,1,Professional,0
30,68,4,2,0,YES,0,Grad,0
58,65,4,2.2,0,YES,0,Undergrad,0
56,61,2,1.9,105,NO,0,Grad,0
38,91,4,1.4,100,NO,1,Grad,0
49,31,1,1,0,YES,0,Undergrad,0
34,71,4,0.1,0,NO,0,Grad,0
40,73,4,2.67,0,YES,1,Undergrad,0
64,172,4,3.1,282,YES,1,Undergrad,1
51,20,2,0,0,NO,0,Undergrad,0
44,55,1,0.2,0,NO,0,Undergrad,0
46,69,2,1.7,209,NO,0,Undergrad,0
57,155,1,7.4,0,YES,0,Undergrad,0
54,94,1,1.9,0,NO,0,Grad,0
38,92,2,0,249,YES,1,Undergrad,0
27,125,2,0.6,0,NO,0,Undergrad,0
39,74,3,3,0,NO,0,Undergrad,0
44,72,3,0.3,0,YES,0,Professional,0
56,61,1,2.2,0,YES,1,Professional,0
32,25,2,0.3,0,NO,1,Undergrad,0
45,83,2,1.7,0,YES,0,Grad,0
26,104,3,2.5,0,NO,0,Undergrad,0
55,41,3,1,0,YES,0,Professional,0
52,58,4,1.8,91,NO,0,Professional,0
39,93,1,1.5,0,NO,1,Professional,0
24,39,2,1.7,0,NO,0,Grad,0
47,148,2,7.5,0,YES,1,Undergrad,0
47,53,4,1.9,98,NO,1,Professional,0
48,71,2,1.7,145,NO,1,Undergrad,0
47,92,1,2.8,0,YES,0,Grad,0
35,61,4,2.1,0,YES,0,Professional,0
46,38,3,2.5,135,NO,0,Grad,0
62,58,4,1.7,0,YES,0,Undergrad,0
26,80,1,0.8,150,NO,0,Grad,0
38,71,4,1.8,0,YES,0,Professional,0
43,89,3,0.5,0,YES,1,Professional,0
62,83,1,1.8,0,YES,0,Professional,0
57,28,3,0.2,0,YES,1,Undergrad,0
28,52,4,1.7,0,NO,0,Grad,0
51,70,1,1.2,169,NO,0,Undergrad,0
48,71,1,1.4,0,NO,1,Professional,0
41,75,1,3.7,280,NO,0,Professional,0
65,170,3,7.9,99,YES,0,Professional,1
41,78,4,0.8,78,YES,0,Undergrad,0
35,25,2,1,0,NO,0,Grad,0
38,60,2,0.6,0,YES,1,Professional,0
53,120,4,2.7,111,YES,0,Grad,1
55,99,2,1.4,264,YES,1,Undergrad,0
26,55,3,2.6,113,NO,1,Professional,0
30,29,3,1,117,NO,0,Grad,0
54,170,2,6.2,325,YES,0,Grad,1
65,53,3,2.2,0,NO,1,Undergrad,0
47,138,1,0,0,NO,0,Undergrad,0
65,134,3,3.9,121,YES,0,Professional,1
66,42,2,0.7,138,NO,1,Professional,0
26,99,4,2.3,0,NO,1,Professional,0
66,18,3,0.5,0,NO,1,Undergrad,0
35,24,4,0.3,0,YES,0,Undergrad,0
56,55,1,1.4,77,YES,0,Undergrad,0
51,58,1,0,0,NO,1,Undergrad,0
42,111,2,1.2,251,YES,0,Professional,1
49,33,1,0.3,0,YES,1,Professional,0
27,74,4,1.8,112,YES,1,Grad,0
45,38,2,0.7,0,NO,0,Undergrad,0
49,23,4,0.6,98,NO,0,Professional,0
63,61,2,1.5,0,YES,0,Undergrad,0
47,81,1,2.9,138,NO,0,Undergrad,0
64,129,1,2.5,0,YES,0,Undergrad,0
43,33,1,0.75,0,NO,0,Professional,0
60,63,4,2.2,0,YES,0,Undergrad,0
40,70,4,1.4,0,YES,0,Grad,0
29,45,4,0.2,158,YES,1,Undergrad,0
41,65,3,0.5,0,YES,0,Professional,0
30,74,4,2.2,0,NO,1,Undergrad,0
49,50,4,1.8,0,NO,0,Professional,0
30,22,4,0.5,109,YES,0,Professional,0
29,30,4,1,0,NO,0,Professional,0
50,21,4,1,0,YES,0,Undergrad,0
39,155,2,3.9,0,YES,0,Undergrad,0
33,64,4,2.1,164,YES,0,Professional,0
57,65,4,2.6,0,NO,1,Professional,0
34,71,4,0.7,0,YES,0,Professional,0
61,40,3,0.5,0,YES,0,Grad,0
44,69,3,0.5,0,YES,0,Professional,0
40,69,3,2.33,0,NO,0,Grad,0
51,45,3,0.6,131,YES,0,Grad,0
37,62,3,0.7,0,NO,1,Grad,0
44,172,2,4.3,391,YES,0,Professional,1
42,24,3,1,0,YES,1,Grad,0
51,80,1,4.9,0,NO,0,Undergrad,0
43,8,3,0.67,88,YES,0,Grad,0
30,38,4,0.8,129,YES,1,Undergrad,0
45,93,4,2.6,0,NO,0,Professional,0
35,55,1,2,0,YES,0,Undergrad,0
60,64,2,1.7,0,NO,1,Professional,0
34,122,1,0,0,YES,0,Undergrad,0
55,70,3,1.4,0,YES,0,Professional,0
43,81,2,3.2,0,NO,0,Undergrad,0
41,159,1,5.5,0,YES,0,Professional,1
34,70,4,1.3,0,NO,0,Undergrad,0
65,150,2,6.9,196,NO,0,Undergrad,0
45,152,2,7.5,0,YES,0,Undergrad,0
49,195,4,3,617,NO,0,Undergrad,1
48,22,1,0.1,0,NO,0,Undergrad,0
60,22,1,1.3,123,YES,0,Undergrad,0
55,79,3,0.8,0,YES,1,Undergrad,0
42,33,1,1.4,0,YES,0,Professional,0
32,128,2,4.33,0,YES,1,Undergrad,0
62,91,1,3.8,0,YES,0,Undergrad,0
57,39,4,0.9,0,YES,1,Undergrad,0
52,121,1,7.3,167,YES,0,Undergrad,0
36,21,1,0.67,0,YES,0,Professional,0
34,41,3,2.3,0,NO,1,Undergrad,0
63,45,2,0.7,0,YES,0,Professional,0
24,51,3,0.3,0,YES,0,Professional,0
57,165,1,1.6,0,YES,0,Grad,1
40,119,2,4.2,0,YES,0,Grad,1
27,110,4,1.8,190,YES,0,Professional,0
65,20,3,0.7,0,NO,1,Grad,0
60,64,1,0.8,248,NO,0,Grad,0
44,101,3,4.4,82,NO,0,Grad,1
63,101,1,3.9,0,YES,0,Undergrad,1
59,99,1,4.4,0,NO,0,Undergrad,1
56,158,4,6.1,0,NO,0,Undergrad,1
54,89,1,1.9,0,YES,1,Grad,0
52,80,1,1.3,0,YES,1,Professional,0
58,114,2,2,402,YES,0,Undergrad,0
60,49,3,0.5,0,YES,1,Grad,0
28,191,1,6.33,0,YES,0,Undergrad,0
54,78,4,1,0,YES,0,Grad,0
32,28,3,1,0,NO,0,Undergrad,0
59,42,1,0.8,0,YES,0,Grad,0
63,140,1,2.5,0,NO,0,Undergrad,0
48,45,1,1.3,0,YES,0,Grad,0
56,122,2,0.3,360,YES,1,Undergrad,0
36,65,3,2.6,0,YES,0,Grad,0
57,68,1,1.4,0,YES,0,Professional,0
29,153,2,2,392,NO,0,Undergrad,0
39,89,4,1.4,0,NO,0,Grad,0
59,91,1,2.6,0,YES,1,Undergrad,0
31,55,4,2,185,YES,0,Grad,0
43,118,2,3.3,0,NO,1,Undergrad,0
35,22,1,0.67,103,NO,0,Professional,0
54,63,3,1.4,138,YES,1,Professional,0
51,12,4,0.5,78,YES,0,Grad,0
44,50,3,2.7,0,YES,0,Grad,0
25,43,2,1.6,0,YES,1,Professional,0
40,173,4,6.6,0,YES,1,Undergrad,1
26,60,2,3,132,NO,0,Undergrad,1
39,113,1,1,0,YES,0,Professional,0
28,155,4,5.3,0,YES,0,Grad,1
52,91,4,1,0,NO,1,Grad,0
53,55,4,1.1,0,YES,0,Grad,0
44,173,2,1.4,419,YES,0,Undergrad,0
43,71,3,0.3,0,NO,1,Professional,0
56,24,2,0.4,88,NO,0,Professional,0
38,42,1,2,81,YES,0,Grad,0
30,141,2,4.33,0,YES,0,Undergrad,0
32,32,1,1.9,0,YES,0,Professional,0
35,55,4,1.3,0,NO,0,Undergrad,0
43,153,2,7.5,0,YES,0,Undergrad,0
58,113,2,1.4,270,NO,1,Undergrad,0
25,30,2,1.7,0,NO,0,Grad,0
54,29,3,1,148,NO,1,Professional,0
57,174,1,6.8,466,YES,0,Grad,1
50,35,1,0.3,0,YES,0,Professional,0
32,98,2,2,175,YES,0,Grad,0
63,30,2,1,159,YES,0,Professional,0
31,58,2,2.5,0,NO,1,Undergrad,0
36,25,4,1,147,NO,0,Undergrad,0
58,19,4,0.7,0,NO,0,Undergrad,0
56,44,4,0.7,174,YES,0,Grad,0
49,20,4,1,111,YES,1,Undergrad,0
30,98,2,3.1,220,YES,0,Undergrad,0
33,90,3,1.6,0,YES,0,Undergrad,0
45,61,3,0.7,0,NO,0,Undergrad,0
30,40,4,2,0,YES,0,Grad,0
47,38,2,2.1,0,NO,0,Professional,0
25,28,2,1.7,0,NO,0,Grad,0
63,34,1,1.5,0,YES,1,Professional,0
55,73,2,2.3,0,YES,1,Professional,0
65,133,4,2,0,NO,1,Undergrad,1
44,53,1,0.2,0,YES,0,Undergrad,0
51,21,4,0.6,0,YES,1,Professional,0
35,40,3,0.9,0,YES,0,Undergrad,0
30,41,4,1.7,0,YES,0,Grad,0
31,82,4,1.8,0,YES,0,Grad,0
54,100,4,3.4,0,NO,0,Professional,1
45,155,1,7,0,YES,1,Undergrad,0
45,45,1,0.2,0,YES,0,Undergrad,0
58,9,3,0.3,0,NO,1,Professional,0
54,48,4,1.8,0,YES,0,Professional,0
53,18,4,0.1,109,YES,1,Professional,0
33,80,4,3.4,0,YES,1,Undergrad,0
60,64,2,2.8,0,NO,0,Undergrad,0
50,29,4,0.1,0,NO,0,Undergrad,0
26,48,3,0.7,0,YES,0,Grad,0
54,23,2,0.4,0,NO,0,Undergrad,0
28,84,4,0.2,0,YES,1,Undergrad,0
36,179,3,6.6,0,YES,0,Undergrad,1
29,30,4,1.5,112,NO,1,Grad,0
54,93,1,4.9,133,YES,1,Undergrad,0
55,39,2,1.9,0,NO,0,Grad,0
61,60,3,0.5,182,NO,0,Grad,0
36,133,1,3.8,290,YES,1,Undergrad,0
45,125,1,2.4,0,NO,0,Undergrad,0
64,58,1,1.8,0,YES,0,Professional,0
60,89,2,2.8,0,YES,0,Undergrad,0
49,82,1,2.67,125,YES,0,Grad,0
47,110,2,3.3,0,YES,1,Undergrad,0
60,54,4,2.3,0,NO,0,Professional,0
45,89,4,1.9,0,YES,0,Professional,0
32,42,3,2.3,0,YES,0,Undergrad,0
52,41,3,1.9,0,NO,1,Grad,0
35,38,4,1,124,YES,0,Grad,0
40,85,2,0.4,0,YES,0,Undergrad,0
53,83,4,1,0,YES,0,Grad,0
27,33,4,1,0,NO,0,Professional,0
58,50,4,2.1,0,NO,1,Undergrad,0
47,58,4,3.6,0,YES,1,Professional,0
28,115,4,3.1,0,NO,0,Grad,1
46,145,2,6.3,0,YES,0,Undergrad,0
43,161,2,7.5,0,NO,0,Undergrad,0
56,38,1,0.2,0,NO,0,Undergrad,0
28,28,4,0.8,0,YES,0,Undergrad,0
42,75,3,2.33,0,NO,1,Undergrad,0
32,35,3,1.3,116,NO,1,Undergrad,0
62,24,2,1,116,NO,1,Undergrad,0
37,78,4,0.1,0,YES,0,Grad,0
51,113,1,1.3,161,YES,0,Professional,0
39,75,3,2.1,224,YES,0,Undergrad,0
43,91,1,5.7,0,YES,0,Undergrad,0
52,31,4,0.2,141,YES,1,Undergrad,0
30,45,1,1.8,0,YES,0,Grad,0
52,80,3,0.8,0,NO,0,Undergrad,0
61,50,3,1.4,112,YES,0,Professional,0
36,31,4,1,0,YES,0,Grad,0
58,113,2,3.8,119,YES,1,Grad,1
47,29,4,0.6,0,YES,0,Undergrad,0
64,59,2,1.5,139,YES,0,Undergrad,0
52,43,1,1.3,0,YES,0,Grad,0
58,122,1,3,115,YES,0,Professional,1
48,29,1,1,0,NO,0,Undergrad,0
64,91,2,0,0,YES,1,Professional,0
58,65,3,2.2,0,YES,0,Professional,0
47,22,1,1,0,NO,1,Undergrad,0
49,71,1,1.4,0,NO,0,Professional,0
31,60,4,2,0,YES,1,Grad,0
61,60,3,2,0,YES,0,Professional,0
51,69,1,0.3,0,YES,1,Undergrad,0
28,48,2,1.75,89,YES,0,Professional,0
39,21,3,0.2,0,NO,0,Grad,0
54,53,4,2.8,0,NO,0,Grad,0
50,29,3,0.9,0,NO,0,Professional,0
30,60,4,2.2,0,YES,0,Grad,0
64,42,3,0.5,116,YES,0,Grad,0
29,69,3,0.3,0,NO,0,Professional,0
48,20,1,1,0,YES,1,Undergrad,0
35,200,2,3,458,NO,0,Undergrad,0
60,141,2,2.1,0,YES,1,Undergrad,0
55,81,2,3.7,0,NO,0,Undergrad,0
29,183,3,8.3,0,YES,0,Professional,1
48,149,2,5.5,0,YES,0,Grad,1
43,83,4,3.6,0,NO,1,Professional,1
66,35,1,1.9,172,YES,0,Grad,0
25,13,2,0.9,0,YES,0,Professional,0
45,39,1,2.4,0,NO,1,Undergrad,0
34,21,1,0.5,0,YES,0,Professional,0
48,10,2,0.7,0,YES,1,Professional,0
32,84,4,1.8,0,NO,0,Grad,0
50,30,4,0.1,161,YES,1,Undergrad,0
43,31,4,0.3,156,YES,0,Undergrad,0
64,182,1,1.2,547,YES,0,Grad,1
60,114,2,6.9,0,YES,0,Undergrad,0
43,152,3,6.1,0,NO,0,Grad,1
60,53,1,0.8,0,NO,1,Grad,0
64,24,4,0.4,78,YES,0,Grad,0
44,150,2,3.3,0,NO,1,Undergrad,0
60,132,2,6,470,YES,1,Undergrad,0
54,68,3,1.6,0,YES,1,Professional,0
33,53,1,1.2,0,NO,1,Undergrad,0
56,173,1,4.6,88,YES,0,Grad,1
29,30,3,1,0,NO,0,Grad,0
25,113,2,0.2,0,YES,1,Undergrad,0
60,15,1,0.8,0,YES,0,Grad,0
55,84,2,3.7,304,YES,0,Undergrad,0
39,88,4,1.4,0,YES,1,Grad,0
37,43,3,2.8,0,YES,0,Undergrad,0
53,43,2,2.1,0,YES,1,Professional,0
34,90,2,2.7,0,YES,0,Undergrad,0
42,34,4,0.3,104,YES,0,Undergrad,0
60,38,4,1.3,0,YES,0,Undergrad,0
50,173,1,1,0,YES,1,Undergrad,0
41,160,2,8,0,YES,0,Undergrad,0
25,44,4,0.6,0,YES,1,Grad,0
50,83,2,0.4,0,YES,0,Professional,0
48,94,4,2.6,0,YES,0,Professional,0
32,43,1,2.1,0,NO,1,Professional,0
50,42,3,1.7,0,YES,0,Grad,0
59,34,2,0.3,0,NO,0,Undergrad,0
50,39,3,1.9,0,YES,0,Grad,0
44,70,1,0.1,0,NO,0,Grad,0
31,39,4,1.8,185,NO,1,Professional,0
40,44,3,2,0,YES,0,Professional,0
36,69,3,3.1,0,YES,0,Grad,1
51,44,3,0.9,0,NO,0,Professional,0
64,32,3,0.1,0,YES,0,Professional,0
47,15,2,0.7,0,NO,0,Professional,0
52,118,2,6.8,112,YES,0,Undergrad,0
51,62,1,1.3,221,YES,0,Grad,0
31,82,4,2.2,0,NO,0,Grad,0
39,54,3,3,108,NO,1,Undergrad,0
30,48,1,2.1,0,NO,0,Professional,0
27,74,3,0.3,0,YES,0,Professional,0
41,113,1,1,211,NO,1,Professional,0
53,81,3,1.7,0,NO,0,Grad,0
54,43,3,1,169,NO,0,Grad,0
28,34,1,1.8,0,YES,0,Grad,0
34,48,1,2.5,105,YES,0,Professional,0
61,54,4,1.2,129,YES,1,Grad,0
48,75,4,1.4,0,YES,0,Grad,0
36,72,1,2.8,224,NO,0,Undergrad,0
56,39,4,0.9,0,NO,0,Undergrad,0
24,75,4,0.2,0,YES,0,Undergrad,0
64,79,2,2.8,179,NO,0,Undergrad,0
26,205,1,6.33,271,NO,1,Undergrad,0
33,65,2,0.1,89,YES,0,Undergrad,0
64,122,4,0.2,378,YES,0,Undergrad,1
39,82,1,0.8,0,YES,0,Grad,0
54,21,2,0.2,0,NO,1,Undergrad,0
32,50,4,2.1,0,YES,1,Professional,0
62,39,2,2.8,113,YES,1,Undergrad,0
27,101,1,1.9,0,NO,0,Undergrad,0
53,41,2,0.6,0,NO,0,Professional,0
51,132,1,0.3,0,YES,0,Undergrad,0
25,43,3,2.4,176,YES,0,Grad,0
44,131,1,4.9,0,YES,0,Professional,1
31,11,1,0.4,76,NO,1,Grad,0
57,21,1,0.3,117,NO,0,Professional,0
25,109,4,2.3,314,YES,0,Professional,0
30,141,2,4.33,0,NO,0,Undergrad,0
40,81,3,0.1,0,YES,0,Undergrad,0
63,54,3,2.4,90,NO,1,Undergrad,0
35,164,2,7.8,0,YES,0,Undergrad,0
43,28,4,0.3,87,NO,0,Undergrad,0
27,68,3,2.6,203,NO,0,Professional,0
44,44,3,2,180,YES,1,Professional,0
49,61,1,1.4,0,YES,1,Professional,0
61,35,3,1.3,0,NO,1,Grad,0
60,54,3,0.3,0,YES,1,Grad,0
59,14,1,0.1,0,YES,1,Undergrad,0
28,52,4,2.2,230,YES,0,Undergrad,0
52,101,2,0.3,0,NO,0,Undergrad,0
28,149,2,7.2,0,YES,0,Undergrad,0
34,35,4,0.8,137,YES,1,Undergrad,0
60,21,3,0.3,129,YES,0,Professional,0
39,118,2,1.9,0,NO,1,Undergrad,0
30,38,4,2,0,NO,0,Grad,0
49,24,4,0.2,138,YES,0,Undergrad,0
43,59,1,3.7,0,YES,0,Professional,0
63,41,4,1.67,0,YES,0,Professional,0
28,85,1,0.8,0,YES,1,Grad,0
51,12,4,1,0,YES,0,Undergrad,0
33,32,1,0.6,152,NO,0,Professional,0
55,79,3,0.8,0,YES,0,Undergrad,0
53,175,3,3.6,0,YES,1,Professional,1
34,28,3,0.9,0,NO,0,Undergrad,0
34,41,2,0.1,161,YES,1,Undergrad,0
40,70,3,2.1,185,NO,0,Undergrad,0
49,161,3,6.5,485,NO,0,Grad,1
35,53,4,2.2,0,YES,0,Grad,0
39,128,1,3.4,0,NO,0,Undergrad,0
55,50,3,1,0,YES,1,Grad,0
29,80,2,2,0,YES,1,Grad,0
54,93,1,2.7,0,YES,0,Grad,0
25,48,3,0.3,0,NO,1,Professional,0
52,149,2,6.8,0,YES,0,Undergrad,0
46,49,3,2.5,0,YES,1,Grad,0
57,88,1,2.7,0,YES,0,Grad,0
52,22,4,0.4,0,YES,1,Professional,0
28,55,4,2.2,0,YES,1,Undergrad,0
44,72,1,0.7,155,NO,0,Professional,0
24,38,2,1.7,0,YES,0,Grad,0
40,114,1,3.4,300,YES,0,Undergrad,0
34,83,4,4,0,YES,0,Professional,0
39,101,2,0.4,0,YES,1,Undergrad,0
50,94,1,4.9,272,YES,0,Undergrad,0
41,40,2,2.5,0,YES,1,Undergrad,0
31,128,1,6,0,NO,0,Undergrad,0
